Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price,Effective Year,Price Per Sq Meter,Property History Count,EPC Category
"Bristol, City of",7/1/2022,950,House Service Occupancy,St Bernadettes RC SA Secondary School House,St Bernadettes RC SA Secondary School House Fossedale Avenue Hengrove Bristol BS14 9LS,,Fossedale Avenue,Bristol,BS14 9LS,Hengrove & Whitchurch Park,360969,168732,Freehold,,Land And Building(S),222,0.0488,Yes,Direct Service,,,,"2013, 2016, 2018, 2020, 2021, 2022",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,139020,Land-Residential,Fulford Road - Land Rear Of 95-105,Fulford Road - Land Rear Of 95-105 Fulford Road Hartcliffe Bristol BS13 0AD,,,,BS13 ,Hartcliffe & Withywood,358345,168053,Freehold,Vacant,Land Only,222,0.121965,Yes,Direct Service,,,,"2016, 2017, 2021, 2022, 2024",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,4042,Land-Cemetery,St Michaels Churchyard,St Michaels Churchyard Disused Burial Ground St Michaels Hill Kingsdown Bristol,,Upper Church Lane,Bristol,BS2 8FN,Central,358535,173287,Maintenance Obligation,,Land Only,222,0.062583,Yes,Community,,,,"2014, 2015, 2016, 2021",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,972,Primary School,Waycroft Academy ,Waycroft Academy  Selden Road  Stockwood  Bristol  BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362215,168343,Freehold Reversion,,Land And Building(S),2573,3.007464,,Indirect Service / Non-Investment Letting(s),E,1800,,"2016, 2018, 2021, 2024, 2025",1040235.97,,2022,404.289145,5,Low
"Bristol, City of",7/1/2022,973,House/Houses,Waycroft Academy House,Waycroft Academy House Selden Road Stockwood Bristol BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362193,168384,Freehold Reversion,,Land And Building(S),84.1,0.058564,,Indirect Service / Non-Investment Letting(s),E,1800,,"2011, 2012, 2013, 2016, 2017, 2021, 2024",291200,,2022,3462.54459,7,Low
"Bristol, City of",7/1/2022,976,E P Home/Dwellings,Greville EPH (PwD),Greville EPH (PwD) Lacey Road Stockwood Bristol BS14 8LN,,Lacey Road,Bristol,BS14 ,Stockwood,362435,168481,Freehold,Vacant,Land And Building(S),1636.5,0.695638,,Surplus / Non-operational / Under Review,G,2200,,"2016, 2021, 2022, 2023",550350.34,,2022,336.297183,4,Low
"Bristol, City of",7/1/2022,978,Primary School,Merchants Academy Primary School,Merchants Academy Primary School Withywood Road Withywood Bristol BS13 9AX,,Withywood Road,Bristol,BS13 9AX,Hartcliffe & Withywood,357012,167875,Freehold Reversion,,Land And Building(S),3100.3,2.337226,,Indirect Service / Non-Investment Letting(s),G,2200,,"2013, 2014, 2016, 2019, 2021",1467966.09,,2022,473.4916266,5,Low
"Bristol, City of",7/1/2022,985,House/Houses,Four Acres Primary School House,Four Acres Primary School House 93 Four Acres Withywood Bristol BS13 8RB,93,Four Acres,Bristol,BS13 8RB,Hartcliffe & Withywood,356375,167849,Freehold,,Land And Building(S),222,0.0327,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2014, 2016, 2021, 2025",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,988,Residential Home,199 Newland Road,199 Newland Road Hartcliffe Bristol BS13 9DT,199,Newland Road,Bristol,BS13 9DT,Hartcliffe & Withywood,357614,167539,Freehold,,Land And Building(S),316.5,0.1177,,Surplus / Non-operational / Under Review,E,1800,,"2012, 2015, 2016, 2017, 2021",291200,,2022,920.0631912,5,Low
"Bristol, City of",7/1/2022,994,Primary School,Wansdyke Primary Academy School,Wansdyke Primary Academy School School Close Whitchurch Bristol BS14 0DU,,School Close,Bristol,BS14 0DU,Hengrove & Whitchurch Park,359736,167686,Freehold Reversion,,Land And Building(S),1190.7,1.218631,,Indirect Service / Non-Investment Letting(s),F,2000,,"2016, 2017, 2018, 2021, 2022, 2025",291200,,2022,244.5620223,6,Low
"Bristol, City of",7/1/2022,995,Day Nursery,Former School House - Whitchurch Day Nursery,Former School House - Whitchurch Day Nursery 1 School Close Whitchurch Bristol BS14 0DU,1,School Close,Bristol,BS5 6EB,Hengrove & Whitchurch Park,359725,167725,Freehold,,Land And Building(S),92,0.03667,,Indirect Service / Non-Investment Letting(s),E,1800,,"2011, 2013, 2014, 2016, 2020, 2021, 2022, 2023",291200,,2022,3165.217391,8,Low
"Bristol, City of",7/1/2022,1000,House Service Occupancy,Teyfant Primary School (Former) - School House,Teyfant Primary School (Former) - School House Teyfant Road Hartcliffe Bristol BS13 0RG,,Teyfant Road,Bristol,BS13 0RF,Hengrove & Whitchurch Park,359046,167537,Freehold,,Land And Building(S),222,0.027271,Yes,Direct Service,,,,"2014, 2015, 2016, 2019, 2021, 2022",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,1148,Primary School,Willow Park CE VC School - School Buildings ,Willow Park CE VC School - School Buildings  Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358481,173230,Education Acts Agt,,Building(S) Only,843.58,0.116192,Yes,Direct Service,E,1800,,"2013, 2014, 2015, 2016, 2020, 2021, 2023, 2025",331480.86,,2022,392.9453757,8,Low
"Bristol, City of",7/1/2022,1470,Land-Car/Lorry Park,McAdam Way Public Car Park,McAdam Way Public Car Park Brunswick Place Hotwells Bristol,,Brunswick Place,Bristol,BS1 6XL,Hotwells & Harbourside,356965,172225,Freehold,,Land Only,222,0.059855,Yes,Direct Service,,,,"2010, 2013, 2014, 2015, 2016, 2019, 2021, 2022",,,2022,0,8,Unknown
"Bristol, City of",7/1/2022,138638,Library,Bishopston Library,Bishopston Library 100A Gloucester Road Bishopston Bristol BS7 8BN,100,Gloucester Road,Bristol,BS7 8BN,Redland,359009,175291,Freehold,,Land And Building(S),730.2,0.09835,Yes,Direct Service,G,2200,,"2015, 2016, 2017, 2018, 2021, 2022",302623.5,,2022,414.4391947,6,Low
"Bristol, City of",7/1/2022,1358,Land-Verge,Wedmore Vale - Land Fronting 32,Wedmore Vale - Land Fronting 32 Wedmore Vale Bedminster Bristol,32,Wedmore Vale,Bristol,BS3 5HX,Filwood,359117,170765,Freehold,,Land Only,222,0.0016,,Infrastructure,,,,"2014, 2016, 2021, 2024",,,2022,0,4,Unknown
"Bristol, City of",7/1/2022,1261,Land-Verge,Dorset Road - Land Adj 15,Dorset Road - Land Adj 15 Dorset Road Henleaze Bristol,15,Dorset Road,Bristol,BS9 4BJ,Westbury-on-Trym & Henleaze,357792,176957,Freehold,,Land Only,222,0.001233,,Infrastructure,,,,"2010, 2013, 2016, 2020, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,1010,Community Centre/Facilities,Whitchurch Folk Centre,Whitchurch Folk Centre East Dundry Road Whitchurch Bristol BS14 0LN,,East Dundry Road,Bristol,BS14 0LN,Hengrove & Whitchurch Park,360392,167478,Freehold,,Land And Building(S),404.2,0.317721,,Indirect Service / Non-Investment Letting(s),E,1800,,"2016, 2019, 2021",291200,,2022,720.435428,3,Low
"Bristol, City of",7/1/2022,1014,Special School,Lansdown Park Secondary Specialist Provision Academy,Lansdown Park Secondary Specialist Provision Academy Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362202,167897,Freehold Reversion,,Land And Building(S),1010,1.722647,,Indirect Service / Non-Investment Letting(s),E,1800,,"2011, 2016, 2021",492518.39,,2022,487.6419703,3,Low
"Bristol, City of",7/1/2022,1015,Youth Club/Centre,BS14 Youth Club,BS14 Youth Club Stockwood Lane Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362261,167789,Freehold,,Land And Building(S),601,0.424533,,Indirect Service / Non-Investment Letting(s),E,1800,,"2011, 2016, 2021, 2025",291200,,2022,484.5257903,4,Low
"Bristol, City of",7/1/2022,1029,Primary School,Hareclive Primary School,Hareclive Primary School Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358190,167659,Freehold,,Land And Building(S),3150.76,2.353481,,Indirect Service / Non-Investment Letting(s),E,1800,,"2016, 2020, 2021, 2022, 2024",861944.49,,2022,273.5671679,5,Low
"Bristol, City of",7/1/2022,1030,Nursery School,Hartcliffe Nursery School And Childrens Centre,Hartcliffe Nursery School And Childrens Centre Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358261,167734,Freehold,,Land And Building(S),1394.62,0.654792,Yes,Direct Service,F,2000,,"2016, 2019, 2021",688488.26,,2022,493.674449,3,Low
"Bristol, City of",7/1/2022,1033,Community Centre/Facilities,Hareclive Youth Centre,Hareclive Youth Centre Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358177,167741,Freehold,,Land And Building(S),614,0.202174,,Indirect Service / Non-Investment Letting(s),F,2000,,"2010, 2016, 2021, 2024",297312.05,,2022,484.2215798,4,Low
"Bristol, City of",7/1/2022,1034,Community Centre/Facilities,Hartcliffe Community House,Hartcliffe Community House Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358173,167688,Freehold,,Land And Building(S),1166.8,0.275683,,Indirect Service / Non-Investment Letting(s),G,2200,,"2016, 2017, 2018, 2021, 2022, 2024",334224.76,,2022,286.4456291,6,Low
"Bristol, City of",7/1/2022,1040,Community Centre/Facilities,Greenway Centre,Greenway Centre Doncaster Road Southmead Bristol BS10 5PY,,Doncaster Road,Bristol,BS10 5PY,Southmead,357790,178000,Freehold,,Land And Building(S),4923.79,3.827224,,Indirect Service / Non-Investment Letting(s),G,2200,,"2011, 2015, 2016, 2021, 2024",2233453.46,,2022,453.6045323,5,Low
"Bristol, City of",7/1/2022,1041,Primary School,Badocks Wood E-ACT Academy,Badocks Wood E-ACT Academy Doncaster Road Southmead Bristol BS10 5PU,,Doncaster Road,Bristol,BS10 5PU,Southmead,357760,177982,Freehold Reversion,,Land And Building(S),2812.19,2.113666,,Indirect Service / Non-Investment Letting(s),G,2200,,"2011, 2013, 2016, 2017, 2021, 2025",825297.33,,2022,293.4713977,6,Low
"Bristol, City of",7/1/2022,1045,Library,Henbury Library,Henbury Library 179 Crow Lane Henbury Bristol BS10 7DR,,Crow Lane,Bristol,BS10 7DR,Henbury & Brentry,357107,179160,Freehold,,Land And Building(S),436,0.105793,Yes,Direct Service,G,2200,,"2016, 2017, 2018, 2021",291200,,2022,667.8899083,4,Low
"Bristol, City of",7/1/2022,1049,House/Houses,Stoke Bishop CE VC School House,Stoke Bishop CE VC School House 18 Lyndale Avenue Stoke Bishop Bristol BS9 1BS,18,Lyndale Avenue,Bristol,BS9 1BS,Stoke Bishop,355638,176304,Freehold,,Land And Building(S),96.7,0,,Indirect Service / Non-Investment Letting(s),G,2200,,"2012, 2016, 2017, 2020, 2021, 2024",291200,,2022,3011.375388,6,Low
"Bristol, City of",7/1/2022,802,House/Houses,West Town Lane Caretakers House,West Town Lane Caretakers House 98 West Town Lane Bristol BS4 5DT,,,,BS4 5DT,Stockwood,361538,170101,Freehold,,Land And Building(S),80.1,0.101694,,Indirect Service / Non-Investment Letting(s),E,1800,,"2015, 2016, 2021, 2022, 2023, 2025",291200,,2022,3635.45568,6,Low
"Bristol, City of",7/1/2022,809,Store/Depot/Warehouse,801 Bath Road,801 Bath Road Brislington Bristol BS4 5NL,801,Bath Road,Bristol,BS4 5NL,Brislington East,362231,170485,Freehold,,Land And Building(S),0,0.21405,,Indirect Service / Non-Investment Letting(s),F,2000,,"2010, 2015, 2016, 2021, 2023, 2024",291200,,2022,0,6,Low
"Bristol, City of",7/1/2022,710,Flat/Flats,Holy Cross RC VA Primary School Flat,Holy Cross RC VA Primary School Flat Dean Lane Bedminster Bristol BS3 1DB,14,Withey Close West,Bristol,BS9 3SX,Southville,358396,171788,Education Acts Agt,,Building(S) Only,222,0.000313,Yes,Direct Service,,,,"2011, 2014, 2016, 2018, 2019, 2021",,,2022,0,6,Unknown
"Bristol, City of",7/1/2022,713,Community Centre/Facilities,ACTA,ACTA Gladstone Street Bedminster Bristol BS3 3LU,,Stanley Street,Bristol,BS3 3LU,Bedminster,358026,171319,Freehold,,Land And Building(S),222,0.168042,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2013, 2016, 2019, 2021",,,2022,0,5,Unknown
"Bristol, City of",7/1/2022,715,House/Houses,Compass Point Primary School House,Compass Point Primary School House 124 British Road Bedminster Bristol BS3 3BZ,124,British Road,Bristol,BS3 3BZ,Bedminster,357989,171110,Freehold,,Land And Building(S),83.65,0.012301,,Indirect Service / Non-Investment Letting(s),F,2000,,"2011, 2014, 2016, 2019, 2021",291200,,2022,3481.171548,5,Low
"Bristol, City of",7/1/2022,132885,Childrens Centre,Whitchurch Childrens Centre,Whitchurch Childrens Centre Whitchurch Health Centre - Rooms At Armada Road Whitchurch Bristol BS14 0SU,,,,BS14 0SU,Hengrove & Whitchurch Park,360325,168425,Licence,,Building(S) Only,222,0.000313,Yes,Direct Service,,,,"2011, 2015, 2016, 2017, 2021, 2023, 2024",,,2022,0,7,Unknown
"Bristol, City of",7/1/2022,732,Primary School,Hillcrest Primary School,Hillcrest Primary School School Road Knowle Bristol BS4 3BW,,Cemetery Road,Bristol,BS4 3DE,Windmill Hill,360197,171408,Freehold,,Land And Building(S),2021.38,0.538212,Yes,Direct Service,E,1800,,"2012, 2016, 2021, 2024",676792.52,,2022,334.8170656,4,Low
"Bristol, City of",7/1/2022,739,Store/Depot/Warehouse,Brislington Transport Depot,Brislington Transport Depot Bath Road / Sandy Park Road Brislington Bristol BS4 3EZ,,Bath Road,Bristol,BS4 3EZ,Brislington West,361301,171633,Freehold,,Land And Building(S),10213.3,2.352027,Yes,Direct Service,E,1800,,"2016, 2017, 2018, 2021, 2023",3032605.26,,2022,296.9270716,5,Low
"Bristol, City of",7/1/2022,744,Library,Wick Road Library,Wick Road Library Wick Road Brislington Bristol BS4 4HE,,Wick Road,Bristol,BS4 4HE,Brislington East,361752,171289,Freehold,,Land And Building(S),209.3,0.0583,Yes,Direct Service,E,1800,,"2014, 2016, 2021, 2025",291200,,2022,1391.304348,4,Low
"Bristol, City of",7/1/2022,746,Primary School,Holymead Primary School - Junior Site,Holymead Primary School - Junior Site Wick Road Brislington Bristol BS4 4HB,,Wick Road,Bristol,BS4 4HB,Brislington West,361714,171127,Freehold,,Land And Building(S),4032.5,0.958276,Yes,Direct Service,G,2200,,"2012, 2014, 2016, 2017, 2021",1491459.91,,2022,369.8598661,5,Low
"Bristol, City of",7/1/2022,747,House Service Occupancy,Holymead School House,Holymead School House Rossall Road Brislington Bristol BS4 3NR,,Rossall Road,Bristol,BS4 3NR,Brislington West,361675,171168,Freehold,,Land And Building(S),116.2,0.012546,Yes,Direct Service,G,2200,,"2011, 2014, 2016, 2018, 2021",291200,,2022,2506.024096,5,Low
"Bristol, City of",7/1/2022,754,Primary School,Broomhill Junior School,Broomhill Junior School Allison Road Brislington Bristol BS4 4NZ,,Allison Road,Bristol,BS4 4NZ,Brislington East,362680,171253,Freehold,,Land And Building(S),1978.6,1.782695,Yes,Direct Service,G,2200,,"2015, 2016, 2020, 2021, 2024",474064.04,,2022,239.5956939,5,Low
"Bristol, City of",7/1/2022,755,Primary School,Broomhill Infants School,Broomhill Infants School Fermaine Avenue Brislington Bristol BS4 4UY,,Fermaine Avenue,Bristol,BS4 4UY,Brislington East,362738,171300,Freehold,,Land And Building(S),1307.6,0.608199,Yes,Direct Service,E,1800,,"2012, 2014, 2015, 2016, 2021, 2022, 2023",292477.1,,2022,223.6747476,7,Low
"Bristol, City of",7/1/2022,759,Special School,40 School Road,40 School Road Brislington Bristol BS4 4NN,40,School Road,Bristol,BS4 4NN,Brislington East,362358,171304,Freehold,,Land And Building(S),302.8,0.296403,,Indirect Service / Non-Investment Letting(s),F,2000,,"2010, 2015, 2016, 2021, 2025",291200,,2022,961.6908851,5,Low
"Bristol, City of",7/1/2022,760,Community Centre/Facilities,Ashton Vale Community Centre,Ashton Vale Community Centre Risdale Road Ashton Vale Bristol BS3 2QY,,Risdale Road,Bristol,BS3 2QY,Bedminster,356615,170499,Freehold,,Land And Building(S),259.3,0.140005,,Indirect Service / Non-Investment Letting(s),E,1800,,"2014, 2016, 2021, 2024",291200,,2022,1123.023525,4,Low
"Bristol, City of",7/1/2022,660,Nursery School,St Philips Marsh Nursery School,St Philips Marsh Nursery School Albert Crescent St Philips Bristol BS2 0SU,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360536,172193,Freehold,,Land And Building(S),714,0.247851,Yes,Direct Service,G,2200,,"2011, 2013, 2015, 2016, 2018, 2021",319008.16,,2022,446.7901401,6,Low
"Bristol, City of",7/1/2022,138989,Primary School,Chester Park Junior School,Chester Park Junior School Abingdon Road Fishponds Bristol BS16 3NX,,Abingdon Road,Bristol,BS16 3NX,Hillfields,363121,175027,Freehold,,Land And Building(S),2100,1.50657,Yes,Direct Service,F,2000,,"2014, 2016, 2018, 2019, 2020, 2021",602319.66,,2022,286.8188857,6,Low
"Bristol, City of",7/1/2022,673,Primary School,The Kingfisher School,The Kingfisher School Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362358,172458,Freehold,,Land And Building(S),1554.31,0.79084,,Indirect Service / Non-Investment Letting(s),E,1800,,"2012, 2016, 2018, 2021, 2023, 2024",706044.39,,2022,454.2494033,6,Low
"Bristol, City of",7/1/2022,678,Cafe/Restaurant,Lockside Cafe Restaurant,Lockside Cafe Restaurant 1 Brunel Lock Road Hotwells Bristol BS1 6XS,,,,BS1 6XS,Hotwells & Harbourside,356774,172261,Freehold,,Land And Building(S),160,0.053901,,Investment Properties,E,1800,,"2013, 2016, 2021, 2022, 2025",291200,,2022,1820,5,Low
"Bristol, City of",7/1/2022,689,Primary School,Southville Primary School,Southville Primary School Myrtle Annexe Myrtle Street Southville Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357779,171521,Freehold,,Land And Building(S),1941,0.625031,Yes,Direct Service,E,1800,,"2011, 2012, 2015, 2016, 2020, 2021, 2022",532362.81,,2022,274.272442,7,Low
"Bristol, City of",7/1/2022,692,Primary School,Ashton Gate Primary School,Ashton Gate Primary School Ashton Gate Road Ashton Gate Bristol BS3 1SZ,,Ashton Gate Road,Bristol,BS3 1SZ,Southville,357389,171752,Freehold,,Land And Building(S),2929.9,0.552721,Yes,Direct Service,F,2000,,"2011, 2012, 2015, 2016, 2021, 2023",746159.37,,2022,254.6705929,6,Low
"Bristol, City of",7/1/2022,705,Primary School,Southville Primary School,Southville Primary School Merrywood Road Southville Bristol BS3 1EB,,Merrywood Road,Bristol,BS3 1EB,Southville,358108,171756,Freehold,,Land And Building(S),1364.2,0.339358,Yes,Direct Service,F,2000,,"2013, 2014, 2016, 2021, 2022, 2023",297892.49,,2022,218.3642354,6,Low
"Bristol, City of",7/1/2022,709,Primary School,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field Dean Lane Bedminster Bristol BS3 1DB,,Dean Lane,Bristol,BS3 1DB,Southville,358481,171764,Education Acts Agt,,Land And Building(S),1459.5,0.605571,Yes,Direct Service,G,2200,,"2011, 2016, 2017, 2019, 2021, 2022",399837.3,,2022,273.9549846,6,Low
"Bristol, City of",7/1/2022,648,Nursery School,Redcliffe Childrens Centre And Maintained Nursery School,Redcliffe Childrens Centre And Maintained Nursery School Ground Floor Spencer House Ship Lane Redcliffe Bristol BS1 6RR,,Ship Lane,Bristol,BS1 6RR,Central,359169,172042,Leasehold,,Building(S) Only,628,0.138659,Yes,Direct Service,G,2200,,"2016, 2017, 2021, 2022, 2025",291200,,2022,463.6942675,5,Low
"Bristol, City of",7/1/2022,650,Secondary School,St Mary Redcliffe And Temple CE VA Secondary School,St Mary Redcliffe And Temple CE VA Secondary School Somerset Square Redcliffe Bristol BS1 6RT,,Somerset Square,Bristol,BS1 6RT,Central,359228,172090,Education Acts Agt,,Land And Building(S),23806.7,2.090707,Yes,Direct Service,E,1800,,"2010, 2015, 2016, 2019, 2021, 2022",5493459.08,,2022,230.7526486,6,Low
