Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,139020,Land-Residential,Fulford Road - Land Rear Of 95-105,Fulford Road - Land Rear Of 95-105 Fulford Road Hartcliffe Bristol BS13 0AD,,,,BS13 ,Hartcliffe & Withywood,358345.0,168053.0,Freehold,Vacant,Land only,,0.121965,Yes,Direct Service,,,,"2016, 2017, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,4042,Land-Cemetery,St Michaels Churchyard,St Michaels Churchyard Disused Burial Ground St Michaels Hill Kingsdown Bristol,,Upper Church Lane,Bristol,BS2 8FN,Central,358535.0,173287.0,Maintenance Obligation,,Land only,,0.062583,Yes,Community,,,,"2014, 2015, 2016, 2021",,
"Bristol, City of",7/1/2022,972,Primary School,Waycroft Academy ,Waycroft Academy  Selden Road  Stockwood  Bristol  BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362215.0,168343.0,Freehold Reversion,,Land and Building(s),2573.0,3.007464,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2018, 2021, 2024, 2025",1040235.97,
"Bristol, City of",7/1/2022,973,House/Houses,Waycroft Academy House,Waycroft Academy House Selden Road Stockwood Bristol BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362193.0,168384.0,Freehold Reversion,,Land and Building(s),84.1,0.058564,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2012, 2013, 2016, 2017, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,976,E P Home/Dwellings,Greville EPH (PwD),Greville EPH (PwD) Lacey Road Stockwood Bristol BS14 8LN,,Lacey Road,Bristol,BS14 ,Stockwood,362435.0,168481.0,Freehold,Vacant,Land and Building(s),1636.5,0.695638,,Surplus / Non-operational / Under Review,G,2200.0,,"2016, 2021, 2022, 2023",550350.34,
"Bristol, City of",7/1/2022,978,Primary School,Merchants Academy Primary School,Merchants Academy Primary School Withywood Road Withywood Bristol BS13 9AX,,Withywood Road,Bristol,BS13 9AX,Hartcliffe & Withywood,357012.0,167875.0,Freehold Reversion,,Land and Building(s),3100.3,2.337226,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2013, 2014, 2016, 2019, 2021",1467966.09,
"Bristol, City of",7/1/2022,985,House/Houses,Four Acres Primary School House,Four Acres Primary School House 93 Four Acres Withywood Bristol BS13 8RB,93.0,Four Acres,Bristol,BS13 8RB,Hartcliffe & Withywood,356375.0,167849.0,Freehold,,Land and Building(s),,0.0327,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2013, 2014, 2016, 2021, 2025",,
"Bristol, City of",7/1/2022,988,Residential Home,199 Newland Road,199 Newland Road Hartcliffe Bristol BS13 9DT,199.0,Newland Road,Bristol,BS13 9DT,Hartcliffe & Withywood,357614.0,167539.0,Freehold,,Land and Building(s),316.5,0.1177,,Surplus / Non-operational / Under Review,E,1800.0,,"2012, 2015, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,994,Primary School,Wansdyke Primary Academy School,Wansdyke Primary Academy School School Close Whitchurch Bristol BS14 0DU,,School Close,Bristol,BS14 0DU,Hengrove & Whitchurch Park,359736.0,167686.0,Freehold Reversion,,Land and Building(s),1190.7,1.218631,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2016, 2017, 2018, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,995,Day Nursery,Former School House - Whitchurch Day Nursery,Former School House - Whitchurch Day Nursery 1 School Close Whitchurch Bristol BS14 0DU,1.0,School Close,Bristol,BS5 6EB,Hengrove & Whitchurch Park,359725.0,167725.0,Freehold,,Land and Building(s),92.0,0.03667,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2013, 2014, 2016, 2020, 2021, 2022, 2023",291200.0,
"Bristol, City of",7/1/2022,1000,House Service Occupancy,Teyfant Primary School (Former) - School House,Teyfant Primary School (Former) - School House Teyfant Road Hartcliffe Bristol BS13 0RG,,Teyfant Road,Bristol,BS13 0RF,Hengrove & Whitchurch Park,359046.0,167537.0,Freehold,,Land and Building(s),,0.027271,Yes,Direct Service,,,,"2014, 2015, 2016, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,1148,Primary School,Willow Park CE VC School - School Buildings ,Willow Park CE VC School - School Buildings  Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358481.0,173230.0,Education Acts Agt,,Building(s) only,843.58,0.116192,Yes,Direct Service,E,1800.0,,"2013, 2014, 2015, 2016, 2020, 2021, 2023, 2025",331480.86,
"Bristol, City of",7/1/2022,1470,Land-Car/Lorry Park,McAdam Way Public Car Park,McAdam Way Public Car Park Brunswick Place Hotwells Bristol,,Brunswick Place,Bristol,BS1 6XL,Hotwells & Harbourside,356965.0,172225.0,Freehold,,Land only,,0.059855,Yes,Direct Service,,,,"2010, 2013, 2014, 2015, 2016, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,138638,Library,Bishopston Library,Bishopston Library 100A Gloucester Road Bishopston Bristol BS7 8BN,100.0,Gloucester Road,Bristol,BS7 8BN,Redland,359009.0,175291.0,Freehold,,Land and Building(s),730.2,0.09835,Yes,Direct Service,G,2200.0,,"2015, 2016, 2017, 2018, 2021, 2022",302623.5,
"Bristol, City of",7/1/2022,1358,Land-Verge,Wedmore Vale - Land Fronting 32,Wedmore Vale - Land Fronting 32 Wedmore Vale Bedminster Bristol,32.0,Wedmore Vale,Bristol,BS3 5HX,Filwood,359117.0,170765.0,Freehold,,Land only,,0.0016,,Infrastructure,,,,"2014, 2016, 2021, 2024",,
"Bristol, City of",7/1/2022,1261,Land-Verge,Dorset Road - Land Adj 15,Dorset Road - Land Adj 15 Dorset Road Henleaze Bristol,15.0,Dorset Road,Bristol,BS9 4BJ,Westbury-on-Trym & Henleaze,357792.0,176957.0,Freehold,,Land only,,0.001233,,Infrastructure,,,,"2010, 2013, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,1010,Community Centre/Facilities,Whitchurch Folk Centre,Whitchurch Folk Centre East Dundry Road Whitchurch Bristol BS14 0LN,,East Dundry Road,Bristol,BS14 0LN,Hengrove & Whitchurch Park,360392.0,167478.0,Freehold,,Land and Building(s),404.2,0.317721,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,1014,Special School,Lansdown Park Secondary Specialist Provision Academy,Lansdown Park Secondary Specialist Provision Academy Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362202.0,167897.0,Freehold Reversion,,Land and Building(s),1010.0,1.722647,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2016, 2021",492518.39,
"Bristol, City of",7/1/2022,1015,Youth Club/Centre,BS14 Youth Club,BS14 Youth Club Stockwood Lane Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362261.0,167789.0,Freehold,,Land and Building(s),601.0,0.424533,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,1029,Primary School,Hareclive Primary School,Hareclive Primary School Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358190.0,167659.0,Freehold,,Land and Building(s),3150.76,2.353481,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2020, 2021, 2022, 2024",861944.49,
"Bristol, City of",7/1/2022,1030,Nursery School,Hartcliffe Nursery School And Childrens Centre,Hartcliffe Nursery School And Childrens Centre Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358261.0,167734.0,Freehold,,Land and Building(s),1394.62,0.654792,Yes,Direct Service,F,2000.0,,"2016, 2019, 2021",688488.26,
"Bristol, City of",7/1/2022,1033,Community Centre/Facilities,Hareclive Youth Centre,Hareclive Youth Centre Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358177.0,167741.0,Freehold,,Land and Building(s),614.0,0.202174,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2016, 2021, 2024",297312.05,
"Bristol, City of",7/1/2022,1034,Community Centre/Facilities,Hartcliffe Community House,Hartcliffe Community House Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358173.0,167688.0,Freehold,,Land and Building(s),1166.8,0.275683,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2016, 2017, 2018, 2021, 2022, 2024",334224.76,
"Bristol, City of",7/1/2022,1040,Community Centre/Facilities,Greenway Centre,Greenway Centre Doncaster Road Southmead Bristol BS10 5PY,,Doncaster Road,Bristol,BS10 5PY,Southmead,357790.0,178000.0,Freehold,,Land and Building(s),4923.79,3.827224,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2015, 2016, 2021, 2024",2233453.46,
"Bristol, City of",7/1/2022,1041,Primary School,Badocks Wood E-ACT Academy,Badocks Wood E-ACT Academy Doncaster Road Southmead Bristol BS10 5PU,,Doncaster Road,Bristol,BS10 5PU,Southmead,357760.0,177982.0,Freehold Reversion,,Land and Building(s),2812.19,2.113666,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2013, 2016, 2017, 2021, 2025",825297.33,
"Bristol, City of",7/1/2022,1045,Library,Henbury Library,Henbury Library 179 Crow Lane Henbury Bristol BS10 7DR,,Crow Lane,Bristol,BS10 7DR,Henbury & Brentry,357107.0,179160.0,Freehold,,Land and Building(s),436.0,0.105793,Yes,Direct Service,G,2200.0,,"2016, 2017, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,1049,House/Houses,Stoke Bishop CE VC School House,Stoke Bishop CE VC School House 18 Lyndale Avenue Stoke Bishop Bristol BS9 1BS,18.0,Lyndale Avenue,Bristol,BS9 1BS,Stoke Bishop,355638.0,176304.0,Freehold,,Land and Building(s),96.7,0.0,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2016, 2017, 2020, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,802,House/Houses,West Town Lane Caretakers House,West Town Lane Caretakers House 98 West Town Lane Bristol BS4 5DT,,,,BS4 5DT,Stockwood,361538.0,170101.0,Freehold,,Land and Building(s),80.1,0.101694,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2015, 2016, 2021, 2022, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,809,Store/Depot/Warehouse,801 Bath Road,801 Bath Road Brislington Bristol BS4 5NL,801.0,Bath Road,Bristol,BS4 5NL,Brislington East,362231.0,170485.0,Freehold,,Land and Building(s),0.0,0.21405,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2015, 2016, 2021, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,710,Flat/Flats,Holy Cross RC VA Primary School Flat,Holy Cross RC VA Primary School Flat Dean Lane Bedminster Bristol BS3 1DB,14.0,Withey Close West,Bristol,BS9 3SX,Southville,358396.0,171788.0,Education Acts Agt,,Building(s) only,,0.000313,Yes,Direct Service,,,,"2011, 2014, 2016, 2018, 2019, 2021",,
"Bristol, City of",7/1/2022,713,Community Centre/Facilities,ACTA,ACTA Gladstone Street Bedminster Bristol BS3 3LU,,Stanley Street,Bristol,BS3 3LU,Bedminster,358026.0,171319.0,Freehold,,Land and Building(s),,0.168042,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2013, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,715,House/Houses,Compass Point Primary School House,Compass Point Primary School House 124 British Road Bedminster Bristol BS3 3BZ,124.0,British Road,Bristol,BS3 3BZ,Bedminster,357989.0,171110.0,Freehold,,Land and Building(s),83.65,0.012301,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2011, 2014, 2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,132885,Childrens Centre,Whitchurch Childrens Centre,Whitchurch Childrens Centre Whitchurch Health Centre - Rooms At Armada Road Whitchurch Bristol BS14 0SU,,,,BS14 0SU,Hengrove & Whitchurch Park,360325.0,168425.0,Licence,,Building(s) only,,0.000313,Yes,Direct Service,,,,"2011, 2015, 2016, 2017, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,732,Primary School,Hillcrest Primary School,Hillcrest Primary School School Road Knowle Bristol BS4 3BW,,Cemetery Road,Bristol,BS4 3DE,Windmill Hill,360197.0,171408.0,Freehold,,Land and Building(s),2021.38,0.538212,Yes,Direct Service,E,1800.0,,"2012, 2016, 2021, 2024",676792.52,
"Bristol, City of",7/1/2022,739,Store/Depot/Warehouse,Brislington Transport Depot,Brislington Transport Depot Bath Road / Sandy Park Road Brislington Bristol BS4 3EZ,,Bath Road,Bristol,BS4 3EZ,Brislington West,361301.0,171633.0,Freehold,,Land and Building(s),10213.3,2.352027,Yes,Direct Service,E,1800.0,,"2016, 2017, 2018, 2021, 2023",3032605.26,
"Bristol, City of",7/1/2022,744,Library,Wick Road Library,Wick Road Library Wick Road Brislington Bristol BS4 4HE,,Wick Road,Bristol,BS4 4HE,Brislington East,361752.0,171289.0,Freehold,,Land and Building(s),209.3,0.0583,Yes,Direct Service,E,1800.0,,"2014, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,746,Primary School,Holymead Primary School - Junior Site,Holymead Primary School - Junior Site Wick Road Brislington Bristol BS4 4HB,,Wick Road,Bristol,BS4 4HB,Brislington West,361714.0,171127.0,Freehold,,Land and Building(s),4032.5,0.958276,Yes,Direct Service,G,2200.0,,"2012, 2014, 2016, 2017, 2021",1491459.91,
"Bristol, City of",7/1/2022,747,House Service Occupancy,Holymead School House,Holymead School House Rossall Road Brislington Bristol BS4 3NR,,Rossall Road,Bristol,BS4 3NR,Brislington West,361675.0,171168.0,Freehold,,Land and Building(s),116.2,0.012546,Yes,Direct Service,G,2200.0,,"2011, 2014, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,754,Primary School,Broomhill Junior School,Broomhill Junior School Allison Road Brislington Bristol BS4 4NZ,,Allison Road,Bristol,BS4 4NZ,Brislington East,362680.0,171253.0,Freehold,,Land and Building(s),1978.6,1.782695,Yes,Direct Service,G,2200.0,,"2015, 2016, 2020, 2021, 2024",474064.04,
"Bristol, City of",7/1/2022,755,Primary School,Broomhill Infants School,Broomhill Infants School Fermaine Avenue Brislington Bristol BS4 4UY,,Fermaine Avenue,Bristol,BS4 4UY,Brislington East,362738.0,171300.0,Freehold,,Land and Building(s),1307.6,0.608199,Yes,Direct Service,E,1800.0,,"2012, 2014, 2015, 2016, 2021, 2022, 2023",292477.1,
"Bristol, City of",7/1/2022,759,Special School,40 School Road,40 School Road Brislington Bristol BS4 4NN,40.0,School Road,Bristol,BS4 4NN,Brislington East,362358.0,171304.0,Freehold,,Land and Building(s),302.8,0.296403,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2015, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,760,Community Centre/Facilities,Ashton Vale Community Centre,Ashton Vale Community Centre Risdale Road Ashton Vale Bristol BS3 2QY,,Risdale Road,Bristol,BS3 2QY,Bedminster,356615.0,170499.0,Freehold,,Land and Building(s),259.3,0.140005,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2014, 2016, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,660,Nursery School,St Philips Marsh Nursery School,St Philips Marsh Nursery School Albert Crescent St Philips Bristol BS2 0SU,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360536.0,172193.0,Freehold,,Land and Building(s),714.0,0.247851,Yes,Direct Service,G,2200.0,,"2011, 2013, 2015, 2016, 2018, 2021",319008.16,
"Bristol, City of",7/1/2022,138989,Primary School,Chester Park Junior School,Chester Park Junior School Abingdon Road Fishponds Bristol BS16 3NX,,Abingdon Road,Bristol,BS16 3NX,Hillfields,363121.0,175027.0,Freehold,,Land and Building(s),2100.0,1.50657,Yes,Direct Service,F,2000.0,,"2014, 2016, 2018, 2019, 2020, 2021",602319.66,
"Bristol, City of",7/1/2022,673,Primary School,The Kingfisher School,The Kingfisher School Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362358.0,172458.0,Freehold,,Land and Building(s),1554.31,0.79084,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2016, 2018, 2021, 2023, 2024",706044.39,
"Bristol, City of",7/1/2022,678,Cafe/Restaurant,Lockside Cafe Restaurant,Lockside Cafe Restaurant 1 Brunel Lock Road Hotwells Bristol BS1 6XS,,,,BS1 6XS,Hotwells & Harbourside,356774.0,172261.0,Freehold,,Land and Building(s),160.0,0.053901,,Investment Properties,E,1800.0,,"2013, 2016, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,689,Primary School,Southville Primary School,Southville Primary School Myrtle Annexe Myrtle Street Southville Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357779.0,171521.0,Freehold,,Land and Building(s),1941.0,0.625031,Yes,Direct Service,E,1800.0,,"2011, 2012, 2015, 2016, 2020, 2021, 2022",532362.81,
"Bristol, City of",7/1/2022,692,Primary School,Ashton Gate Primary School,Ashton Gate Primary School Ashton Gate Road Ashton Gate Bristol BS3 1SZ,,Ashton Gate Road,Bristol,BS3 1SZ,Southville,357389.0,171752.0,Freehold,,Land and Building(s),2929.9,0.552721,Yes,Direct Service,F,2000.0,,"2011, 2012, 2015, 2016, 2021, 2023",746159.37,
"Bristol, City of",7/1/2022,705,Primary School,Southville Primary School,Southville Primary School Merrywood Road Southville Bristol BS3 1EB,,Merrywood Road,Bristol,BS3 1EB,Southville,358108.0,171756.0,Freehold,,Land and Building(s),1364.2,0.339358,Yes,Direct Service,F,2000.0,,"2013, 2014, 2016, 2021, 2022, 2023",297892.49,
"Bristol, City of",7/1/2022,709,Primary School,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field Dean Lane Bedminster Bristol BS3 1DB,,Dean Lane,Bristol,BS3 1DB,Southville,358481.0,171764.0,Education Acts Agt,,Land and Building(s),1459.5,0.605571,Yes,Direct Service,G,2200.0,,"2011, 2016, 2017, 2019, 2021, 2022",399837.3,
"Bristol, City of",7/1/2022,648,Nursery School,Redcliffe Childrens Centre And Maintained Nursery School,Redcliffe Childrens Centre And Maintained Nursery School Ground Floor Spencer House Ship Lane Redcliffe Bristol BS1 6RR,,Ship Lane,Bristol,BS1 6RR,Central,359169.0,172042.0,Leasehold,,Building(s) only,628.0,0.138659,Yes,Direct Service,G,2200.0,,"2016, 2017, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,650,Secondary School,St Mary Redcliffe And Temple CE VA Secondary School,St Mary Redcliffe And Temple CE VA Secondary School Somerset Square Redcliffe Bristol BS1 6RT,,Somerset Square,Bristol,BS1 6RT,Central,359228.0,172090.0,Education Acts Agt,,Land and Building(s),23806.7,2.090707,Yes,Direct Service,E,1800.0,,"2010, 2015, 2016, 2019, 2021, 2022",5493459.08,
"Bristol, City of",7/1/2022,654,Primary School,Barton Hill Academy,Barton Hill Academy Queen Ann Road Barton Hill Bristol BS5 9TX,,Queen Ann Road,Bristol,BS5 9TX,Lawrence Hill,360788.0,172880.0,Freehold,,Land and Building(s),3413.9,1.542799,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2013, 2016, 2019, 2021",672653.44,
"Bristol, City of",7/1/2022,967,Land-Car/Lorry Park,Harden Road Public Car Park,Harden Road Public Car Park Harden Road Stockwood Bristol BS14 8PL,,Harden Road,Bristol,BS14 8PL,Stockwood,362076.0,168326.0,Freehold,,Land only,,0.063931,Yes,Direct Service,,,,"2015, 2016, 2020, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,894,Childrens Homes,Silbury House,Silbury House 89 Tarnock Avenue Hengrove Bristol BS14 9RZ,89.0,Tarnock Avenue,Bristol,BS14 9RZ,Hengrove & Whitchurch Park,360175.0,169164.0,Freehold,,Land and Building(s),364.2,0.11399,Yes,Direct Service,F,2000.0,,"2012, 2015, 2016, 2019, 2021",291200.0,
